time,subregion,parent,value
2019-11-29T06,SDGE,CISO,1667.39606929956
2019-11-29T07,SDGE,CISO,1750.0780337226
2019-11-29T08,SDGE,CISO,1871.3041103888
2019-11-29T09,SDGE,CISO,2002.54008629181
2019-11-29T10,SDGE,CISO,2112.98175711944
2019-11-29T11,SDGE,CISO,2177.44862616324
2019-11-29T12,SDGE,CISO,2182.76913573924
2019-11-29T13,SDGE,CISO,2130.97102818006
2019-11-29T14,SDGE,CISO,2038.44473750641
2019-11-29T15,SDGE,CISO,1931.32353605906
2019-11-29T16,SDGE,CISO,1838.33346905108
2019-11-29T17,SDGE,CISO,1783.0387432153
2019-11-29T18,SDGE,CISO,1777.56428068297
2019-11-29T19,SDGE,CISO,1819.47513955132
2019-11-29T20,SDGE,CISO,1892.64052182906
2019-11-29T21,SDGE,CISO,1971.83680083118
2019-11-29T22,SDGE,CISO,2029.83736157116
2019-11-29T23,SDGE,CISO,2045.06713155129
2019-11-30T00,SDGE,CISO,2007.74627760645
2019-11-30T01,SDGE,CISO,1922.85196158594
2019-11-30T02,SDGE,CISO,1809.08100327841
2019-11-30T03,SDGE,CISO,1694.07092045003
2019-11-30T04,SDGE,CISO,1607.14395784174
2019-11-30T05,SDGE,CISO,1571.50818076366
2019-11-30T06,SDGE,CISO,1598.00167074128
2019-11-30T07,SDGE,CISO,1682.05909821222
2019-11-30T08,SDGE,CISO,1804.72293606422
2019-11-30T09,SDGE,CISO,1937.44347609479
2019-11-30T10,SDGE,CISO,2049.40109966487
2019-11-30T11,SDGE,CISO,2115.41146983565
2019-11-30T12,SDGE,CISO,2122.31956913896
2019-11-30T13,SDGE,CISO,2072.19323336847
2019-11-30T14,SDGE,CISO,1981.48265545919
2019-11-30T15,SDGE,CISO,1876.39009951818
